run_id,User上链,自签名时间,Provider Create o-VC,Rule Judgment,Reviewer Verify o-VC,Reviewer Create and Sign o-VP,Transferor Verify o-VP,avg_cpu_percent,peak_memory_mb
30,0.42195701599121094,0.011388778686523438,0.4824841022491455,0.0003628730773925781,0.006844997406005859,0.4979870319366455,0.018837928771972656,5.836507936507935,39.3984375
31,0.5578339099884033,0.011686086654663086,0.4049510955810547,0.0003781318664550781,0.0066907405853271484,0.5882649421691895,0.016314268112182617,4.378571428571429,39.40234375
32,0.4744727611541748,0.011385917663574219,0.4896581172943115,0.0003731250762939453,0.006860971450805664,0.3933277130126953,0.01607489585876465,5.322580645161288,39.40234375
33,0.4715878963470459,0.011494874954223633,0.5079431533813477,0.0005140304565429688,0.0070400238037109375,0.6062850952148438,0.016760826110839844,4.036111111111111,39.40234375
34,0.3761129379272461,0.012487173080444336,0.4885520935058594,0.00038695335388183594,0.0068361759185791016,0.5050339698791504,0.016048908233642578,5.672580645161291,39.40234375
35,0.48746395111083984,0.011625051498413086,0.48993706703186035,0.0003960132598876953,0.006986856460571289,0.5047774314880371,0.016590118408203125,4.714705882352941,39.40234375
36,0.4701361656188965,0.011719942092895508,0.4073350429534912,0.0004138946533203125,0.00709223747253418,0.4994680881500244,0.016644001007080078,4.722222222222223,39.40625
37,0.46558308601379395,0.012223005294799805,0.48677992820739746,0.00041103363037109375,0.006907939910888672,0.49363017082214355,0.016310930252075195,5.596969696969696,39.4140625
38,0.4730360507965088,0.011588096618652344,0.5017390251159668,0.00042510032653808594,0.007052898406982422,0.47989988327026367,0.016312122344970703,4.690909090909091,39.4140625
39,0.4761841297149658,0.012878894805908203,0.47387194633483887,0.00042819976806640625,0.006721019744873047,0.49742913246154785,0.01606893539428711,5.203030303030303,39.4140625
40,0.4812150001525879,0.011301279067993164,0.5324018001556396,0.0004639625549316406,0.006791114807128906,0.44120121002197266,0.016350984573364258,4.780597014925373,39.4140625
41,0.4650261402130127,0.011802196502685547,0.48072290420532227,0.00044608116149902344,0.006742954254150391,0.5851619243621826,0.016201019287109375,5.151428571428571,39.41796875
42,0.3996310234069824,0.011664152145385742,0.5791549682617188,0.0005099773406982422,0.006864786148071289,0.5045349597930908,0.016649961471557617,5.768656716417911,39.41796875
43,0.38232421875,0.011476993560791016,0.48969197273254395,0.0004589557647705078,0.006577730178833008,0.47850894927978516,0.018019676208496094,5.014516129032258,39.41796875
44,0.49595022201538086,0.011569023132324219,0.48921895027160645,0.0004661083221435547,0.006964921951293945,0.459658145904541,0.016674041748046875,5.303030303030301,39.43359375
45,0.5235719680786133,0.011896133422851562,0.490847110748291,0.0005412101745605469,0.007021903991699219,0.5040221214294434,0.016353130340576172,5.517391304347826,39.4375
46,0.48755669593811035,0.011367321014404297,0.49028921127319336,0.0005710124969482422,0.006710052490234375,0.5044040679931641,0.016156911849975586,5.244776119402982,39.4375
47,0.3955109119415283,0.011488914489746094,0.47643494606018066,0.0004858970642089844,0.006749868392944336,0.6046481132507324,0.016466140747070312,4.677611940298506,39.44140625
48,0.3730130195617676,0.011744022369384766,0.4895949363708496,0.0004887580871582031,0.006929874420166016,0.4789299964904785,0.017267942428588867,5.359677419354839,39.44140625
49,0.4715609550476074,0.015781879425048828,0.5155067443847656,0.0005042552947998047,0.006792783737182617,0.4870147705078125,0.016124963760375977,5.735820895522388,39.44140625
50,0.4898991584777832,0.011475324630737305,0.4894750118255615,0.0005199909210205078,0.006780862808227539,0.4544191360473633,0.016026020050048828,5.112307692307694,39.44140625
